id,prompt,input,output,formatting_score
1,rewrite_zero_shot.txt,your app keeps crashing whenever i try to upload a file. fix this asap.,"Dear Customer Support Team,

I am experiencing repeated crashes with your app whenever I attempt to upload a file. I would appreciate it if you could look into this issue and resolve it at your earliest convenience.

Thank you for your assistance.",1
2,rewrite_zero_shot.txt,i was charged twice for the same order and i want my money back.,"Dear Customer Support Team,

I noticed that I was charged twice for the same order. I kindly request a refund for the duplicate charge. 

Thank you for your assistance.",1
3,rewrite_zero_shot.txt,the report is wrong again. your system is showing numbers that don't match ours.,"Dear Customer Support Team,

I have noticed that the report contains inaccuracies once again. The numbers displayed in your system do not match our records. 

Thank you for your assistance in resolving this issue.",1
4,rewrite_zero_shot.txt,why has nobody replied to my support ticket? i sent it three days ago.,"Dear Customer Support Team,

I hope this message finds you well. I wanted to follow up regarding my support ticket, which I submitted three days ago. Could you please provide an update on its status? I appreciate your assistance and look forward to your response.

Thank you.",1
5,rewrite_zero_shot.txt,i forgot my password and the reset email never came.,"Dear Customer Support Team,

I forgot my password, and I have not received the password reset email. Could you please assist me with this issue?

Thank you.",1
6,rewrite_zero_shot.txt,the delivery was supposed to come yesterday but it still hasn't arrived.,"Dear Customer Support Team,

I would like to inform you that my delivery was scheduled to arrive yesterday, but I have not yet received it. Could you please provide an update on the status of my order? 

Thank you for your assistance.",1
7,rewrite_zero_shot.txt,i need to cancel my subscription because i don't use the service anymore.,"Dear Customer Support Team,

I would like to request the cancellation of my subscription, as I no longer use the service. 

Thank you for your assistance.",1
8,rewrite_zero_shot.txt,the website is very slow and sometimes the payment page doesn't load.,Thank you for reaching out. We apologize for the inconvenience you're experiencing with the website's slow performance and occasional issues with loading the payment page. We appreciate your patience and are working to resolve these issues as quickly as possible.,1
9,rewrite_zero_shot.txt,this is the worst service ever. i have been waiting forever.,"Dear Customer Support Team,

I am disappointed with the level of service I have received, as I have been waiting for an extended period without any updates. I would appreciate your assistance in resolving this matter promptly.

Thank you.",1
10,rewrite_zero_shot.txt,I don't understand why I need to verify my identity again.,Could you please clarify why it is necessary for me to verify my identity again?,1
1,rewrite_few_shot.txt,your app keeps crashing whenever i try to upload a file. fix this asap.,I am experiencing repeated crashes when attempting to upload a file using the app. Could you please assist in resolving this issue?,1
2,rewrite_few_shot.txt,i was charged twice for the same order and i want my money back.,I noticed that I was charged twice for the same order. Could you please review the duplicate charge and assist me with a refund?,1
3,rewrite_few_shot.txt,the report is wrong again. your system is showing numbers that don't match ours.,"I have noticed that the report contains discrepancies, as the numbers displayed do not match our records. Could you please review this issue?",1
4,rewrite_few_shot.txt,why has nobody replied to my support ticket? i sent it three days ago.,"I am following up on my support ticket, as I have not yet received a response. Could you please provide an update?",1
5,rewrite_few_shot.txt,i forgot my password and the reset email never came.,I am unable to reset my password because I have not received the reset email. Could you please assist me with this issue?,1
6,rewrite_few_shot.txt,the delivery was supposed to come yesterday but it still hasn't arrived.,"My delivery was scheduled for yesterday, but I have not yet received it. Could you please provide an update on its status?",1
7,rewrite_few_shot.txt,i need to cancel my subscription because i don't use the service anymore.,I would like to cancel my subscription as I no longer use the service. Could you please assist me with this process?,1
8,rewrite_few_shot.txt,the website is very slow and sometimes the payment page doesn't load.,"I am experiencing slow loading times on the website, and at times, the payment page does not load properly. Could you please assist me with this issue?",1
9,rewrite_few_shot.txt,this is the worst service ever. i have been waiting forever.,I have been waiting for a considerable amount of time and have not yet received the service I expected. Could you please provide an update on the status of my request?,1
10,rewrite_few_shot.txt,I don't understand why I need to verify my identity again.,I am unsure why I am required to verify my identity again. Could you please clarify this process?,0
